alunoid,campus,curso,forma_acesso_seletivo,frequencia,reprovacoes,rendabruta,ira,modalidade,genero,raca,idade,idioma,ficou_tempo_sem_estudar,razao_ausencia_educacional,quantidade_computadores,exclusivo_rede_publica,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,situacao
151757,MTC,Engenharia Elétrica Industrial,CON,96.0%,37.0,3640.0,6.13,Bacharelado,M,Preta,20,True,False,,,False,Cônjuge,Ensino superior incompleto,Ensino fundamental completo,,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
170802,MTC,Técnico em Eletromecânica,,33.0%,0.0,6000.0,0.0,Concomitante,F,Branca,17,False,False,,,False,Não informado,Não conhece,Não conhece,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
85659,MTC,Química EAD,CON,79.0%,25.0,3000.0,5.11,Licenciatura,F,Branca,29,True,False,,,False,Cônjuge,Ensino superior completo,Ensino superior incompleto,,Casado(a),0,Urbano,Empresa privada,Matriculado
87838,MTC,Pós-Graduação em Engenharia de Materiais,CON,96.0%,0.0,2000.0,8.58,Mestrado,M,Preta,33,False,False,,,False,Cônjuge,Ensino médio completo,Ensino fundamental incompleto,,União Estável,0,Urbano,Autônomo,Matriculado
173125,MTC,Técnico em Eletrônica,,26.0%,50.0,2600.0,0.0,Concomitante,M,Preta,20,False,False,,,False,Não informado,Ensino médio completo,Ensino superior completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
169697,MTC,Técnico em Eletromecânica,,13.0%,0.0,1600.0,0.0,Concomitante,M,Parda,17,False,False,,,False,Não informado,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
173270,MTC,Técnico em Eletromecânica,,26.0%,0.0,1212.0,0.0,Concomitante,F,Parda,17,False,False,,,False,Pai,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
174089,MTC,Técnico em Eletromecânica,,80.0%,0.0,2000.0,0.0,Concomitante,M,Parda,16,False,False,,,False,Não informado,Ensino médio completo,Não conhece,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
139207,MTC,Programa de Doutorado em Quimica em Associação Ufma-Ifma,CON,96.0%,0.0,0.0,9.6,Doutorado,F,Preta,27,False,False,,,False,Amigo(s),Ensino fundamental incompleto,Ensino fundamental incompleto,,Casado(a),0,NÃ£o informado,Não está trabalhando,Matriculado
153410,MTC,Técnico de Segurança Do Trabalho,COT,98.0%,3.0,1600.0,7.58,Integrado,M,Preta,17,False,False,,,False,Mãe,Ensino médio completo,Ensino médio completo,1.0,Não declarado,0,Rural,Nunca trabalhou,Matriculado
35897,MTC,Engenharia Civil,CON,99.0%,27.0,0.0,3.79,Bacharelado,M,Branca,33,True,False,,,False,Cônjuge,Alfabetizado,Alfabetizado,,Casado(a),0,Urbano,Não está trabalhando,Matriculado
170140,MTC,Técnico em Eletromecânica,,80.0%,0.0,1200.0,0.0,Concomitante,M,Parda,18,False,False,,,False,Pais,Ensino fundamental incompleto,Ensino médio completo,,Não declarado,0,NÃ£o informado,Estágio ou bolsa,Matriculado
169747,MTC,Técnico em Eletromecânica,,26.0%,0.0,900.0,0.0,Concomitante,M,Parda,17,False,False,,,False,Não informado,Ensino superior incompleto,Ensino médio incompleto,,Não declarado,0,NÃ£o informado,Não está trabalhando,Matriculado
172655,MTC,Técnico em Eletromecânica,,66.0%,0.0,645.5,0.0,Concomitante,M,Branca,16,False,False,,,False,Não informado,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
129682,MTC,Especialização em Ensino de Matemática,CON,100.0%,6.0,2090.0,7.38,Especialização,F,Branca,36,False,False,,1.0,False,Cônjuge,Pós-graduação completa,Não sei informar,2.0,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
171490,MTC,Técnico em Eletrotécnica,,77.0%,0.0,2500.0,0.0,Concomitante,F,Parda,18,False,False,,,False,Não informado,Ensino médio completo,Ensino médio incompleto,,Não declarado,0,NÃ£o informado,Não está trabalhando,Matriculado
171824,MTC,Técnico em Eletromecânica,,100.0%,0.0,2923.4,0.0,Concomitante,M,Parda,16,False,False,,,False,Não informado,Ensino médio completo,Não conhece,,Não declarado,0,NÃ£o informado,Não está trabalhando,Matriculado
113938,MTC,Biologia,COT,94.0%,0.0,2706.0,8.35,Licenciatura,M,Parda,43,False,False,,,False,Cônjuge,Ensino médio completo,Não sei informar,1.0,Divorciado(a),0,Urbano,Serviço público,Matriculado
172961,MTC,Técnico em Eletrotécnica,,100.0%,0.0,1000.0,0.0,Concomitante,M,Branca,42,False,False,,,False,Não informado,Ensino fundamental incompleto,Ensino médio incompleto,,Não declarado,0,NÃ£o informado,Autônomo,Matriculado
179462,MTC,Especialização em Docência para a Educação Profissional e Tecnológica,COT,100.0%,0.0,3000.0,0.0,Especialização,M,Parda,30,True,False,,,False,Cônjuge,Ensino médio completo,Não Estudou,,Casado(a),0,Urbano,Estágio ou bolsa,Matriculado
174438,MTC,Técnico em Eletromecânica,,100.0%,0.0,5000.0,0.0,Concomitante,M,Amarela,16,False,False,,,False,Pais,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
170861,MTC,Técnico em Eletrotécnica,,100.0%,0.0,5600.0,0.0,Concomitante,M,Parda,16,False,False,,,False,Mãe,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
140669,MTC,Engenharia Mecânica Industrial,COT,90.0%,37.0,50.0,5.47,Bacharelado,M,Preta,32,True,False,,1.0,False,Cônjuge,Ensino médio completo,Ensino superior completo,1.0,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
175143,MTC,Técnico em Eletromecânica,,100.0%,0.0,2200.0,0.0,Concomitante,M,Branca,16,False,False,,,False,Não informado,Ensino fundamental completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
130080,MTC,Química EAD,CON,88.0%,73.0,0.0,0.0,Licenciatura,M,Branca,47,False,False,,,False,Mãe,Ensino superior completo,Ensino médio completo,1.0,Divorciado(a),0,Urbano,Não está trabalhando,Matriculado
170724,MTC,Técnico em Eletrotécnica,CON,77.0%,0.0,1212.0,0.0,Concomitante,M,Parda,16,False,False,,,False,Não informado,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
90900,MTC,Técnico em Eletrônica,CON,99.0%,6.0,2000.0,7.81,Concomitante,M,Parda,39,True,False,,1.0,False,Cônjuge,Ensino médio completo,Ensino médio completo,1.0,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
173303,MTC,Técnico em Eletromecânica,,13.0%,0.0,1200.0,0.0,Concomitante,M,Parda,17,False,False,,,False,Pais,Ensino médio incompleto,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
127017,MTC,Matemática,CON,82.0%,83.0,7800.0,3.02,Licenciatura,M,Branca,29,True,False,,1.0,False,Pais,Pós-graduação completa,Pós-graduação completa,0.0,Divorciado(a),0,Urbano,Não está trabalhando,Matriculado
170230,MTC,Técnico em Eletromecânica,CON,100.0%,0.0,1500.0,0.0,Concomitante,M,Preta,17,False,False,,,False,Não informado,Ensino médio completo,Não sei informar,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
171507,MTC,Técnico em Design de Móveis,CON,98.0%,0.0,10000.0,0.0,Integrado,F,Parda,15,True,False,,1.0,False,Parentes,Pós-graduação completa,Ensino superior completo,1.0,Não declarado,0,Urbano,Não está trabalhando,Matriculado
154783,MTC,Mestrado Profissional em Educação Profissional E Tecnológica,CON,100.0%,0.0,6000.0,9.64,Mestrado,F,Branca,42,True,False,,1.0,False,Cônjuge,Ensino médio completo,Ensino médio completo,1.0,Casado(a),0,Urbano,Serviço público,Matriculado
171291,MTC,Técnico em Edificações,COT,99.0%,0.0,1200.0,0.0,Integrado,F,Parda,15,False,False,,1.0,False,Pai,Ensino médio completo,Ensino médio completo,1.0,Não declarado,0,Urbano,Autônomo,Matriculado
170808,MTC,Técnico em Eletrônica,,66.0%,0.0,1500.0,0.0,Concomitante,M,Parda,16,False,False,,,False,Não informado,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
172170,MTC,Técnico em Eletrotécnica,,88.0%,0.0,4380.0,0.0,Concomitante,M,Preta,17,False,False,,,False,Não informado,Ensino fundamental incompleto,Não sei informar,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
127467,MTC,Mestrado em Química,CON,60.0%,0.0,6000.0,8.19,Mestrado,M,Parda,36,False,False,,,False,Cônjuge,Ensino fundamental incompleto,Ensino fundamental completo,,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
87837,MTC,Pós-Graduação em Engenharia de Materiais,CON,89.0%,25.0,0.0,8.43,Mestrado,M,Preta,39,True,False,,1.0,False,Cônjuge,Ensino superior completo,Ensino médio completo,1.0,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
147092,MTC,Pós-Graduação Lato Sensu em Ensino de Matemática,CON,97.0%,26.0,6000.0,6.13,Especialização,M,Branca,33,True,False,,,False,Cônjuge,Ensino superior completo,Ensino médio completo,,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
170777,MTC,Técnico em Eletrônica,,66.0%,0.0,600.0,0.0,Concomitante,F,Parda,17,False,False,,,False,Mãe,Ensino fundamental incompleto,Ensino fundamental incompleto,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
149533,MTC,Técnico em Informática,COT,96.0%,2.0,2613.0,8.29,Integrado,F,Parda,17,False,False,,1.0,False,Pais,Ensino médio completo,Ensino médio completo,0.0,Não declarado,0,Urbano,Autônomo,Matriculado
173174,MTC,Técnico em Design Gráfico,CON,84.0%,0.0,8000.0,0.0,Integrado,M,Preta,15,True,False,,,False,Pais,Pós-graduação completa,Pós-graduação incompleta,,Não declarado,0,Urbano,Nunca trabalhou,Matriculado
172953,MTC,Técnico em Eletrônica,,100.0%,0.0,2000.0,0.0,Concomitante,M,Parda,16,False,False,,,False,Não informado,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
97957,MTC,Engenharia Civil,COT,90.0%,4.0,300.0,8.11,Bacharelado,F,Parda,25,False,False,,1.0,False,Cônjuge,Ensino superior completo,Ensino fundamental incompleto,0.0,Casado(a),0,Rural,Não está trabalhando,Matriculado
98199,MTC,Física,CON,70.0%,100.0,0.0,0.0,Licenciatura,F,Branca,30,False,False,,,False,Cônjuge,Ensino médio completo,Ensino médio completo,,União Estável,0,Urbano,Autônomo,Matriculado
170265,MTC,Técnico em Eletromecânica,CON,100.0%,0.0,2500.0,0.0,Concomitante,F,Parda,17,False,False,,1.0,False,Pais,Ensino médio completo,Ensino médio completo,,Não declarado,0,Urbano,Nunca trabalhou,Matriculado
60020,MTC,Biologia,CON,99.0%,0.0,10000.0,7.76,Licenciatura,F,Branca,38,True,False,,1.0,False,Cônjuge,Ensino superior incompleto,Ensino médio completo,0.0,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
127614,MTC,Biologia,CON,85.0%,12.0,3000.0,7.31,Licenciatura,F,Branca,23,False,False,,,False,Cônjuge,Ensino superior completo,Ensino médio completo,,Casado(a),0,Urbano,Nunca trabalhou,Matriculado
98242,MTC,Sistemas de Informação,CON,91.0%,0.0,2000.0,8.21,Bacharelado,M,Parda,29,False,False,,1.0,False,Cônjuge,Ensino médio completo,Ensino médio incompleto,,Casado(a),0,Urbano,Não está trabalhando,Matriculado
173036,MTC,Técnico em Eletrotécnica,,69.0%,100.0,1400.0,0.0,Concomitante,M,Parda,17,False,False,,,False,Não informado,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
113767,MTC,Biologia,CON,95.0%,0.0,3500.0,8.32,Licenciatura,M,Branca,22,True,False,,,False,Mãe,Ensino médio completo,Ensino médio completo,1.0,União Estável,0,Urbano,Nunca trabalhou,Matriculado
171710,MTC,Técnico em Eletromecânica,,80.0%,0.0,1300.0,0.0,Concomitante,M,Parda,18,False,False,,,False,Não informado,Ensino fundamental incompleto,Ensino superior incompleto,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
171969,MTC,Técnico em Eletrotécnica,,100.0%,0.0,600.0,0.0,Concomitante,M,Parda,18,False,False,,,False,Não informado,Ensino médio incompleto,Ensino médio incompleto,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
154859,MTC,Mestrado Profissional em Educação Profissional E Tecnológica,CON,99.0%,0.0,5000.0,9.85,Mestrado,M,Parda,31,False,False,,,False,Cônjuge,Ensino fundamental incompleto,Ensino fundamental incompleto,,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
172521,MTC,Técnico em Eletrônica,,66.0%,0.0,9500.0,0.0,Concomitante,F,Parda,17,False,False,,,False,Pais,Ensino fundamental completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
99092,MTC,Engenharia Elétrica Industrial,CON,88.0%,32.0,4000.0,5.99,Bacharelado,M,Parda,25,True,False,,,False,Mãe,Ensino superior completo,Ensino superior completo,1.0,Casado(a),0,Urbano,Não está trabalhando,Matriculado
171459,MTC,Técnico em Eletrônica,,100.0%,0.0,1200.0,0.0,Concomitante,F,Parda,17,False,False,,,False,Pais,Ensino médio completo,Ensino médio completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
154354,MTC,Segurança Do Trabalho,COT,97.0%,0.0,2400.0,0.0,Subsequente,F,Amarela,37,True,False,,1.0,False,Cônjuge,Ensino médio completo,Ensino superior incompleto,0.0,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
172314,MTC,Técnico em Eletrônica,,53.0%,0.0,6000.0,0.0,Concomitante,M,Preta,17,False,False,,,False,Não informado,Não conhece,Não conhece,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
174205,MTC,Técnico em Eletromecânica,,100.0%,0.0,1200.0,0.0,Concomitante,M,Preta,16,False,False,,,False,Não informado,Ensino médio completo,Ensino fundamental completo,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
132139,MTC,Sistemas de Informação,CON,93.0%,13.0,2000.0,6.69,Bacharelado,M,Parda,36,True,False,,1.0,False,Mãe,Ensino médio completo,Ensino médio completo,1.0,Divorciado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
145303,MTC,Mestrado em Engenharia de Materiais,CON,77.0%,0.0,0.0,8.15,Mestrado,M,Branca,34,True,False,,,False,Não informado,Ensino médio completo,Ensino médio completo,,Casado(a),0,Urbano,Serviço público,Matriculado
172309,MTC,Técnico em Eletrotécnica,,66.0%,0.0,1500.0,0.0,Concomitante,F,Parda,18,False,False,,,False,Não informado,Ensino médio incompleto,Não conhece,,Não declarado,0,NÃ£o informado,Não está trabalhando,Matriculado
172811,MTC,Técnico em Eletrotécnica,,44.0%,0.0,2000.0,0.0,Concomitante,M,Parda,18,False,False,,,False,Mãe,Não conhece,Não conhece,,Não declarado,0,NÃ£o informado,Estágio ou bolsa,Matriculado
87542,MTC,Matemática,CON,98.0%,0.0,800.0,0.0,Licenciatura,M,Parda,35,False,False,,1.0,False,Cônjuge,Ensino superior completo,Ensino médio completo,0.0,Casado(a),0,Urbano,Não está trabalhando,Matriculado
